Timestamp,Trial_ID,Horizontal_Ratio,Vertical_Ratio,EAR,Eye_Direction,Dwell_Confirmed,Blink_Duration_ms,Input_Source,FSM_State,Wheelchair_Command,Left_PWM,Right_PWM,Fail_Safe_Triggered,FPS
1788177900.110215,logic1,0.4794732966873455,0.262232164944965,0.32184639993780867,UP,False,,GAZE,STOPPED,S,0,0,SERIAL_LOST,81.31332635415455
1788177900.1455915,logic1,0.48028967048743115,0.26680564367539406,0.32313090997953786,UP,False,,GAZE,STOPPED,S,0,0,,28.268266217354675
1788177900.1621487,logic1,0.48165014415741697,0.2641719342719456,0.32387783319069,UP,False,,GAZE,STOPPED,S,0,0,,60.38966798168572
1788177900.1994548,logic1,0.4807564082027499,0.2647207993655441,0.3246785438196651,UP,False,,GAZE,STOPPED,S,0,0,,26.806316986968497
1788177900.2293985,logic1,0.4795094373682872,0.2682305530052961,0.3249165363957375,UP,False,,GAZE,STOPPED,S,0,0,,33.39626727817058
1788177900.2601151,logic1,0.4787827005741312,0.266130227668126,0.3252743816649126,UP,False,,GAZE,STOPPED,S,0,0,,32.55486735279964
1788177900.2948847,logic1,0.4765209437121146,0.2675259694576946,0.3252159747631605,UP,False,,GAZE,STOPPED,S,0,0,,28.761401896716063
1788177900.3256729,logic1,0.4748835162516204,0.26971034457845505,0.32400594341217664,UP,False,,GAZE,STOPPED,S,0,0,,32.47974228720109
1788177900.3608315,logic1,0.47699054523916545,0.2645097154308688,0.32424162709836196,UP,False,,GAZE,STOPPED,S,0,0,,28.442515562909417
1788177900.3964667,logic1,0.47672273739790616,0.26785320728026607,0.3240780756638466,UP,False,,GAZE,STOPPED,S,0,0,,28.06098841915823
1788177900.4309633,logic1,0.4773720838051234,0.2696481259006496,0.32412206477311356,UP,False,,GAZE,STOPPED,S,0,0,,28.98800892937363
1788177900.4606671,logic1,0.479931136970284,0.2661449275555275,0.3238159185666868,UP,False,,GAZE,STOPPED,S,0,0,,33.66593357199043
1788177900.4983141,logic1,0.4829008440815711,0.2729973114928114,0.32523621960357935,UP,False,,GAZE,STOPPED,S,0,0,,26.563712823630745
1788177900.5306602,logic1,0.49450839747117914,0.29219584390452086,0.3274871098839003,UP,False,,GAZE,STOPPED,S,0,0,,30.915486105992482
1788177900.5625997,logic1,0.5065651406753263,0.3127068725969568,0.3296402137853175,UP,False,,GAZE,STOPPED,S,0,0,,31.309421258108582
1788177900.5988128,logic1,0.52053664575308,0.33698673810951585,0.3303732864423522,UP,False,,GAZE,STOPPED,S,0,0,,27.61445275466133
1788177900.6317742,logic1,0.5290944152981838,0.35563234491868617,0.3311290607992627,CENTER,False,,GAZE,STOPPED,S,0,0,,30.338326666714888
1788177900.663815,logic1,0.5292309680478168,0.35740572975484086,0.33054101855991547,CENTER,False,,GAZE,STOPPED,S,0,0,,31.210405690984313
1788177900.7003038,logic1,0.5323790967271542,0.35819869679395244,0.32914768093655344,CENTER,False,,GAZE,STOPPED,S,0,0,,27.40587020726066
1788177900.733155,logic1,0.5329948517263032,0.3586129032349483,0.33178445601641854,CENTER,False,,GAZE,STOPPED,S,0,0,,30.44004964111794
1788177900.7638502,logic1,0.5349822202723971,0.3589061180584283,0.3303800543885894,CENTER,False,,GAZE,STOPPED,S,0,0,,32.578636674330454
1788177900.8003097,logic1,0.539327618490231,0.3599058255098174,0.32825636103201544,CENTER,False,,GAZE,STOPPED,S,0,0,,27.427734400544068
1788177900.8315144,logic1,0.5413698135161651,0.3610801013292035,0.3281668824217057,CENTER,False,,GAZE,STOPPED,S,0,0,,32.04620920975222
1788177900.8634834,logic1,0.5398327860328027,0.3609408906013172,0.32535727487537003,CENTER,False,,GAZE,STOPPED,S,0,0,,31.280467159381594
1788177900.8995395,logic1,0.5405424994971387,0.36298396117562803,0.32388814806797384,CENTER,False,,GAZE,STOPPED,S,0,0,,27.73441953038729
1788177900.9317946,logic1,0.5411642972341395,0.3626704372393713,0.3245681334210844,CENTER,False,,GAZE,STOPPED,S,0,0,,31.00255009646017
1788177900.9634275,logic1,0.5381510882418322,0.36195660479287395,0.3238256201482004,CENTER,False,,GAZE,STOPPED,S,0,0,,31.61241794104568
1788177901.0000408,logic1,0.539664706895073,0.3646948344414884,0.3230435964007064,CENTER,False,,GAZE,STOPPED,S,0,0,,27.313246029316957
1788177901.0317137,logic1,0.5382362106109921,0.35990660992140733,0.3252187902787186,CENTER,False,,GAZE,STOPPED,S,0,0,,31.57244047663854
1788177901.0639944,logic1,0.5348531657524233,0.35461500119867057,0.32472136513287175,CENTER,False,,GAZE,STOPPED,S,0,0,,30.97736320061448
1788177901.100052,logic1,0.5337312378121272,0.3514598114389532,0.3241795409889328,CENTER,False,,GAZE,STOPPED,S,0,0,,27.734052753036703
1788177901.1318865,logic1,0.5320707750816697,0.343840773578367,0.3262991793764458,CENTER,False,,GAZE,STOPPED,S,0,0,,31.41188981921124
1788177901.163876,logic1,0.5310396374521336,0.3444605435474122,0.325716401123356,CENTER,False,,GAZE,STOPPED,S,0,0,,31.26041752066362
1788177901.199671,logic1,0.5309470169943512,0.3466094290135302,0.32598212145198,CENTER,False,,GAZE,STOPPED,S,0,0,,27.936697394362444
1788177901.2318735,logic1,0.5303750245569789,0.3483352155097309,0.328759863875953,CENTER,False,,GAZE,STOPPED,S,0,0,,31.054196529052895
1788177901.2635858,logic1,0.5277015568355513,0.34985168629515906,0.32859393440162227,CENTER,False,,GAZE,STOPPED,S,0,0,,31.533038124093135
1788177901.2993634,logic1,0.5280130856344565,0.3466705926341187,0.3279073408588773,CENTER,False,,GAZE,STOPPED,S,0,0,,27.95028754589739
1788177901.3323796,logic1,0.5274740342617203,0.34507152808253644,0.3288330350830816,CENTER,False,,GAZE,STOPPED,S,0,0,,30.288594578200147
1788177901.363729,logic1,0.5256192463344197,0.3439274469387956,0.32710574127199443,CENTER,False,,GAZE,STOPPED,S,0,0,,31.898516225691882
1788177901.4005456,logic1,0.5271138224320475,0.3429893944255034,0.32636868547182274,CENTER,False,,GAZE,STOPPED,S,0,0,,27.16201479102177
1788177901.4326124,logic1,0.5249156151757532,0.34456824480591247,0.3282027660985387,CENTER,False,,GAZE,STOPPED,S,0,0,,31.185111935582206
1788177901.464103,logic1,0.5233169635186123,0.3438530142298619,0.3276399147388078,CENTER,False,,GAZE,STOPPED,S,0,0,,31.754582276564335
1788177901.4997919,logic1,0.5252715254446462,0.3419360405605515,0.32728890197200344,CENTER,False,,GAZE,STOPPED,S,0,0,,28.020308909197798
1788177901.531874,logic1,0.5239455991365736,0.34211754990643195,0.328120094200934,CENTER,False,,GAZE,STOPPED,S,0,0,,31.170048007609875
1788177901.56351,logic1,0.5231143985103319,0.34193433492726716,0.3261791102018754,CENTER,False,,GAZE,STOPPED,S,0,0,,31.60908261927909
1788177901.5995939,logic1,0.5250885028773578,0.3423309461918522,0.3251064866673462,CENTER,False,,GAZE,STOPPED,S,0,0,,27.712979358828658
1788177901.6318192,logic1,0.523097450073974,0.34364364374584444,0.3273312148583371,CENTER,False,,GAZE,STOPPED,S,0,0,,31.031910092408314
1788177901.6637363,logic1,0.5230742319609013,0.3453134701433314,0.327065991622474,CENTER,False,,GAZE,STOPPED,S,0,0,,31.331640123106343
